SentiDate,Sentiscore,ALBDate,ALBOpen,ALBHigh,ALBLow,ALBClose,ALBAdj Close,ALBVolume,ALBUnnamed: 7,ALBUnnamed: 8,Source,LiDate,LiOpen,LiHigh,LiLow,LiClose,LiAdj Close,LiVolume
05-03-2024,-0.3071991558618044,05-03-2024,122.059998,122.440002,106.690002,109.400002,109.400002,19322400,,,both,05-03-2024,0.001572,0.001572,0.001244,0.001362,0.001362,1155143
04-03-2024,-0.1220879599390376,04-03-2024,140.149994,140.220001,133.119995,133.199997,133.199997,4216900,,,both,04-03-2024,0.001725,0.001749,0.001475,0.001571,0.001571,1262621
01-03-2024,-0.2353029469154949,01-03-2024,138.380005,143.190002,137.880005,142.800003,142.800003,3279700,,,both,01-03-2024,0.001752,0.001953,0.001696,0.001698,0.001698,1127246
29-02-2024,0.3378315132605304,29-02-2024,136.539993,140.639999,135.759995,137.850006,137.850006,4563000,,,both,29-02-2024,0.00161,0.001826,0.001572,0.001743,0.001743,1815600
28-02-2024,0.8873287671232877,28-02-2024,130.660004,133.75,129.979996,132.059998,132.059998,2733100,,,both,28-02-2024,0.001245,0.001614,0.0012,0.001608,0.001608,2514223
27-02-2024,-0.169430748543254,27-02-2024,127.440002,130.320007,126.5,128.589996,128.589996,3540300,,,both,27-02-2024,0.001186,0.001255,0.001181,0.001245,0.001245,652988
26-02-2024,0.387860843819393,26-02-2024,120.0,124.25,118.75,121.519997,121.519997,2081000,,,both,26-02-2024,0.001159,0.001194,0.001109,0.001186,0.001186,684462
23-02-2024,0.1098871209030327,23-02-2024,118.480003,122.050003,115.919998,120.650002,120.650002,2762300,,,both,23-02-2024,0.001183,0.001245,0.001147,0.001203,0.001203,898047
22-02-2024,-0.5110390925663357,22-02-2024,117.949997,120.400002,116.760002,118.18,118.18,2018300,,,both,22-02-2024,0.001084,0.001301,0.001084,0.001183,0.001183,1287797
21-02-2024,0.4260645990679736,21-02-2024,115.199997,120.57,114.059998,118.550003,118.550003,3683300,,,both,21-02-2024,0.001202,0.001224,0.001037,0.001084,0.001084,770333
20-02-2024,-0.5090795361593611,20-02-2024,122.099998,122.099998,113.400002,114.82,114.82,3840200,,,both,20-02-2024,0.001172,0.001232,0.001106,0.0012,0.0012,915171
31-01-2024,-0.1970912960581741,31-01-2024,119.25,120.099998,114.480003,114.739998,114.739998,3653300,,,both,31-01-2024,0.000893,0.000988,0.000886,0.00089,0.00089,864334
30-01-2024,-0.7783317555485432,30-01-2024,121.269997,122.989998,118.800003,120.309998,120.309998,1948700,,,both,30-01-2024,0.000867,0.00102,0.000867,0.000894,0.000894,1541595
29-01-2024,0.964770105239462,29-01-2024,118.650002,123.279999,117.379997,123.199997,123.199997,1996400,,,both,29-01-2024,0.000817,0.000866,0.000789,0.000866,0.000866,448961
26-01-2024,0.3130936227951153,26-01-2024,120.07,122.129997,119.0,119.839996,119.839996,1525000,,,both,26-01-2024,0.000818,0.000851,0.000804,0.000845,0.000845,440327
25-01-2024,0.778122342819987,25-01-2024,122.0,123.370003,115.959999,118.449997,118.449997,2810400,,,both,25-01-2024,0.000851,0.000926,0.000789,0.000819,0.000819,848385
24-01-2024,0.9143711432024936,24-01-2024,125.349998,126.080002,120.019997,121.690002,121.690002,2026500,,,both,24-01-2024,0.00084,0.001086,0.000814,0.00085,0.00085,2545087
23-01-2024,0.7883862367741399,23-01-2024,123.919998,127.239998,120.82,122.589996,122.589996,2877400,,,both,23-01-2024,0.000741,0.000855,0.000699,0.000839,0.000839,850418
22-01-2024,-0.7391638553187856,22-01-2024,113.779999,122.790001,113.0,120.75,120.75,4026800,,,both,22-01-2024,0.000903,0.000907,0.000739,0.000739,0.000739,615847
19-01-2024,0.1587653538873051,19-01-2024,118.080002,118.089996,112.290001,115.129997,115.129997,4168300,,,both,19-01-2024,0.000963,0.000964,0.000899,0.000916,0.000916,560721
18-01-2024,0.4640786568610321,18-01-2024,121.089996,121.370003,115.120003,117.989998,117.989998,3418700,,,both,18-01-2024,0.001096,0.001097,0.000962,0.000963,0.000963,753539
